date,page,posted by,message,shares,likes,number of comments,pic,url,type,
"2015-11-20T03:46:15+0000","TransportAgency","Marie Amiel","Nymia Atienza Gagasa","0","0","0","","http://www.facebook.com/290135634463004/posts/918275771593946","comment",
"2015-11-20T03:51:58+0000","TransportAgency","Mills Kordae Khobe","Carly Taipari","0","0","0","","http://www.facebook.com/290135634463004/posts/918275771593946","comment",
"2015-11-20T11:38:16+0000","TransportAgency","Billie Stevenson","Chaarn Roper","0","0","0","","http://www.facebook.com/290135634463004/posts/918275771593946","comment",
"2015-11-19T00:58:32+0000","TransportAgency","Keryn Dillon","How come I can get my named changed on my NZ Passport, Bank Accounts, mortgage application and numerous other places with our Particulars of Marriage YET I can't renew my Drivers License with it!!!! NZTA what's with that??? CRAZY!!!","0","0","1","","http://www.facebook.com/290135634463004/posts/639827939493770","post",
"2015-11-19T22:59:05+0000","TransportAgency","NZ Transport Agency","Hi Keryn
Please give us a call on 0800 822422 so we can discuss your options with you. Thank you
Lysa","0","0","0","","http://www.facebook.com/290135634463004/posts/639827939493770","comment",
"2015-11-16T06:57:28+0000","TransportAgency","David Teirney","Is there a way to pay a one off toll from an existing toll account for a vehicle not linked to that account?","0","0","1","","http://www.facebook.com/290135634463004/posts/638938372916060","post",
"2015-11-18T18:42:49+0000","TransportAgency","NZ Transport Agency","Hi David, are you able to give us a call on 0800 402020 so we can help you with this.  Thanks ^CF","0","0","0","","http://www.facebook.com/290135634463004/posts/638938372916060","comment",
"2015-11-14T04:45:21+0000","TransportAgency","Adrian Line","Any chance your road user website will be operational anytime soon?? Pretty useless having it if it doesn't work!!","0","0","1","","http://www.facebook.com/290135634463004/posts/638317842978113","post",
"2015-11-15T22:39:21+0000","TransportAgency","NZ Transport Agency","Hi Adrian, sorry you had issues over the weekend.  Our website is up and running now.  Thanks ^CF","0","0","0","","http://www.facebook.com/290135634463004/posts/638317842978113","comment",
"2015-11-13T01:57:11+0000","TransportAgency","NZ Transport Agency","Do you use the Toll Roads?
An account is the most convenient and easiest way to pay.
 http://ow.ly/UAE9M","4","1","0","https://fbcdn-photos-e-a.akamaihd.net/hphotos-ak-xtf1/v/t1.0-0/s130x130/12208357_638016509674913_8321074778057951606_n.jpg?oh=714309e83947d6bc47549bc12b3c8986&oe=56EB4E27&__gda__=1457225737_2d75362c901f498e4052c8fc06e61931","http://www.facebook.com/290135634463004/posts/638016509674913","post",
"2015-11-12T05:59:43+0000","TransportAgency","Tim Seabrook","the NZTA website is down at the moment!","0","0","1","","http://www.facebook.com/290135634463004/posts/637813736361857","post",
"2015-11-12T19:03:36+0000","TransportAgency","NZ Transport Agency","Hi Tim,

Our apologies, the website was down last night but is back up and running.

Thanks,","0","0","0","","http://www.facebook.com/290135634463004/posts/637813736361857","comment",
"2015-11-12T05:59:22+0000","TransportAgency","NZ Transport Agency","Unfortunately the NZ Transport Agency website is experiencing a few external connection problems and is not current available. Please accept our apologies for any inconvenience, our suppliers are working hard to restore the site as soon as possible. ^TP","0","1","1","","http://www.facebook.com/290135634463004/posts/637813686361862","post",
"2015-11-13T21:17:57+0000","TransportAgency","Ziggy Stiles","time to change your supplier still down","0","0","0","","http://www.facebook.com/290135634463004/posts/637813686361862","comment",
"2015-11-12T04:30:55+0000","TransportAgency","Dave Moger","Is you website down for change of vehicle notification as I can't seem to lead it from different devices.","0","0","1","","http://www.facebook.com/290135634463004/posts/637802286363002","post",
"2015-11-12T04:57:58+0000","TransportAgency","NZ Transport Agency","Hello Dave,

Our apologies, the website is currently down. With a bit of luck it should be back up and running shortly.

Thank you for your patience,
James","0","0","0","","http://www.facebook.com/290135634463004/posts/637802286363002","comment",
"2015-11-11T22:54:10+0000","TransportAgency","NZ Transport Agency","Summer is coming and so is the annual road works season. Our crews will be busy working on the highway network across the country. We encourage people to plan their journeys by checking what we are doing and where. Be smart. Plan ahead.

www.nzta.govt.nz/summerjourneys","6","8","0","https://fbcdn-photos-h-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-0/s130x130/12193612_637746669701897_4522349235059596860_n.jpg?oh=c1af35507716b3241d948d09426dd1b1&oe=56E2EA51&__gda__=1457862124_9ea5c9aae7b2a5e7ec011124c9877bf4","http://www.facebook.com/290135634463004/posts/637746669701897","post",
"2015-11-07T05:23:01+0000","TransportAgency","Rob Johnson","Due to maintenance, the system is currently unavailable. We apologise for any inconvenience this may cause.  When will you be finished? I want to renew my vehicle's exemption. Even though the vehicle has been off the road for quite some time, you'll still fine me for owning it and every minute counts...so fix your website.   IS THERE ANYTHING THIS GOVERNMENT CAN'T SCREW UP?","0","0","1","","http://www.facebook.com/290135634463004/posts/636310086512222","post",
"2015-11-09T01:25:58+0000","TransportAgency","NZ Transport Agency","Hello Rob,

Sorry to hear that the website was down when you were trying to renew the exemption on your vehicle. 

The website is up and running now so you shouldn't have an issue if you try again. For your information, there is a 60 day grace period to renew the exemption with no penalty, so if you are within that 60 days it should still be free of charge.

Thank you,
James","0","0","0","","http://www.facebook.com/290135634463004/posts/636310086512222","comment",
"2015-11-02T19:32:35+0000","TransportAgency","Megan Findlay","Hey I sold my vehicle and entered buyers details online. How long will that take to process?","0","0","2","","http://www.facebook.com/290135634463004/posts/635107766632454","post",
"2015-11-02T21:06:05+0000","TransportAgency","NZ Transport Agency","Hi Megan,

The 'sold a vehicle' transaction will be processed immediately. If you would like me to check the vehicle is not in your name anymore, please feel free to private message me the plate number.

Thank you,
James","0","0","0","","http://www.facebook.com/290135634463004/posts/635107766632454","comment",
"2015-11-02T21:57:32+0000","TransportAgency","Megan Findlay","Thanks I think I am ok I found a site that checks if car is registered against a driver license number. Will wait for letter in mail","0","0","0","","http://www.facebook.com/290135634463004/posts/635107766632454","comment",
"2015-10-29T04:15:33+0000","TransportAgency","Pockets O'Halloran","Tell me why is it when we go on your website to reg the car and we click on the green link button to check the pricing and your link says one price and then we go the the other link on the same page put in the same details and it give us a higher price than the other on near $90 more for the year","0","0","1","","http://www.facebook.com/290135634463004/posts/633785643431333","post",
"2015-10-29T04:50:43+0000","TransportAgency","NZ Transport Agency","Hello Tim,

Thank you for bringing this to our attention. One possibility could be is that the lower price is just the ACC portion of the rego costs and the higher price is the one that includes the administration costs.

In saying that, I believe the links you are going through should be quoting the full price. If you would like me to investigate further, can I please ask you to private message the link for the page(s) that are giving you the prices? If you are happy to, you could also include the plate number and I will be able to give you the definitive answer for how much your rego should cost.

Regards
James","0","0","0","","http://www.facebook.com/290135634463004/posts/633785643431333","comment",
"2015-10-26T22:42:24+0000","TransportAgency","NZ Transport Agency","","4","21","3","https://fbexternal-a.akamaihd.net/safe_image.php?d=AQABJhlctG-SeFzZ&w=130&h=130&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FpGIqK5mp0uw%2Fhqdefault.jpg&cfs=1","http://www.facebook.com/290135634463004/posts/633202670156297","post",
"2015-10-27T07:30:41+0000","TransportAgency","Jayne Beddow","Joshua Joshua Incredable Hulk Jones","0","0","0","","http://www.facebook.com/290135634463004/posts/633202670156297","comment",
"2015-10-27T09:52:33+0000","TransportAgency","Sarah Stevenson","Homesick!","0","0","0","","http://www.facebook.com/290135634463004/posts/633202670156297","comment",
"2015-10-27T10:47:22+0000","TransportAgency","Joshua Incredable Hulk Jones","Cheers Hun look into that later xx I'd luv move to NZ xxx already look like one ha ha","0","0","0","","http://www.facebook.com/290135634463004/posts/633202670156297","comment",
"2015-10-22T23:48:36+0000","TransportAgency","NZ Transport Agency","Purchase your tolls online and have one less thing to worry about for your Labour weekend travel.
Pre-pay your toll now: http://ow.ly/TJXii 

If you need assistance, our Tolling Contact Centre will be open on Labour Day, 8am to 8pm – call 0800 40 20 20","2","4","1","https://fbcdn-photos-g-a.akamaihd.net/hphotos-ak-xfl1/v/t1.0-0/s130x130/12046752_632115033598394_6901373437951622051_n.jpg?oh=1da4189c289f5f33eb801dc3a86c715f&oe=56E4E935&__gda__=1456816168_d58a2803c00211102d5d28da38aa861a","http://www.facebook.com/290135634463004/posts/632115033598394","post",
"2015-10-24T06:40:40+0000","TransportAgency","Iain Sinclair","How much has been raised paying the tolls ?
Against what highway cost ?","0","0","0","","http://www.facebook.com/290135634463004/posts/632115033598394","comment",
"2015-10-21T08:06:29+0000","TransportAgency","Chen Sophia","Hi there, I have a question around driving license. Is C1 Chinese driving license holder able to drive a 12-seat van in New Zealand for two weeks? Cheers.","0","0","1","","http://www.facebook.com/290135634463004/posts/631681720308392","post",
"2015-10-22T03:21:56+0000","TransportAgency","NZ Transport Agency","Hi Chen Sophia, 

Provided the Chinese licence is current and valid, you can drive a 12 seat van. 
I have included a link to Factsheet 56, New Residents and Visitors Driving In New Zealand, for your information. http://www.nzta.govt.nz/resources/factsheets/56
Thank you ^CB","0","0","0","","http://www.facebook.com/290135634463004/posts/631681720308392","comment",
"2015-10-19T20:48:48+0000","TransportAgency","HMI Technologies","Exciting NZ Transport Agency project in Auckland, New Zealand. the boring machine, nicknamed "Alice", has just finished its work for NZ's longest road tunnel project, which when complete will be twin 2.4km long three-lane tunnels.","0","0","0","https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-xpt1/v/t15.0-10/s130x130/12103350_1032005826850330_1538802835_n.jpg?oh=ee6d6169cda45d695e904b97244957eb&oe=56F2B070&__gda__=1458110696_66cca63addc7bc399095c35abd3b88de","http://www.facebook.com/121371837971966/posts/631311877012043","post",
"2015-10-19T01:47:46+0000","TransportAgency","NZ Transport Agency","Great jobs, great people – the Transport Agency is a pretty awesome place to work 
www.nzta.govt.nz/careers","4","25","2","https://fbcdn-photos-e-a.akamaihd.net/hphotos-ak-xft1/v/t1.0-0/s130x130/12143187_631092200367344_5988976271668442657_n.jpg?oh=e39df0b0f9f4fde73ce627894fe907ec&oe=56D92270&__gda__=1458534498_8a880240104e37a3a0da8200a53736d5","http://www.facebook.com/290135634463004/posts/631098837033347","post",
"2015-10-19T02:51:05+0000","TransportAgency","Jatt Be Like","Jay Singh","0","0","0","","http://www.facebook.com/290135634463004/posts/631098837033347","comment",
"2015-10-19T05:43:14+0000","TransportAgency","Bob Osborne","i have offered a few times, work from home","0","0","0","","http://www.facebook.com/290135634463004/posts/631098837033347","comment",
"2015-10-17T22:43:29+0000","TransportAgency","Jayden Campbell","ffs back to 30km zone at the woodlands passing lanes for what appears to be no reason? when on earth are they gonna be finished it's dragging on and on and on :/","0","0","0","","http://www.facebook.com/290135634463004/posts/630799197063311","post",
"2015-11-28T06:31:36+0000","nztaakl","NZ Transport Agency - Auckland & Northland","7:30PM, Saturday 28th November: Traffic is starting to flow Southbound on Auckland's Northern Motorway near the Harbour Bridge following the earlier serious crash in the area. Traffic remains heavy further back between Constellation Dr & Tristram Ave. This video shows traffic from our cameras starting near the Harbour Bridge. We would like to thank road users for their patience this evening and advise that no further updates regarding this crash will be posted to Facebook this evening. Remember for the latest highway information anytime you can visit www.nzta.govt.nz/traffic or call 0800 4 HIGHWAYS. ^WS","2","10","1","https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-xpa1/v/t15.0-10/s130x130/12104383_953718771368795_804945550_n.jpg?oh=03c94dd3bffe211b0eb22cfb6f212f72&oe=56F957E2&__gda__=1457228415_cb92c8a0c9ce202f54815fc48f0195b9","http://www.facebook.com/210306092376737/posts/953718354702170","post",
"2015-11-29T07:13:35+0000","nztaakl","Brooke Hedley","Amanda Iles","0","0","0","","http://www.facebook.com/210306092376737/posts/953718354702170","comment",
"2015-11-28T04:15:16+0000","nztaakl","NZ Transport Agency - Auckland & Northland","5PM, Saturday 28th November: Due to a serious incident lanes 1 & 2 of the #Auckland Harbour Bridge are currently CLOSED southbound. Expect long delays in the area with queues currently back to Northcote interchange. Latest info here: http://ow.ly/VbKRT.

6PM EDIT: DO NOT CONSIDER SH18 (Upper Harbour Motorway) & SH16 (North Western Motorway) as an alternative route as was previously advertised as a crash has just occurred citybound after St Lukes/Western Springs causing long delays after Gt North Road on this motorway also.  

7PM EDIT: The earlier crash North of the Auckland Harbour Bridge has now been cleared and all lanes are now OPEN. Traffic remains heavy between Constellation Dr & Onewa Rd. 

The earlier crash on the North Western Motorway has been cleared after Western Springs. 

A third crash is now causing delays in the separated right "bull run" lane on the Causeway citybound. Emergency services are on their way to this and traffic is heavy nearby. Use the left lanes if travelling in this area. ^WS","32","25","25","https://fbcdn-photos-g-a.akamaihd.net/hphotos-ak-xft1/v/t1.0-0/p110x80/12301607_953684664705539_4099559356404043032_n.jpg?oh=e9e271e75f0ad1cebf44eba602e0f156&oe=56ED9F22&__gda__=1458785469_f19f9e5677a9916c5284dddc1788cf42","http://www.facebook.com/210306092376737/posts/953684664705539","post",
"2015-11-28T04:24:58+0000","nztaakl","Shelley Drylie","Rose Stelter - not sure what time you are going over but incase","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T04:30:38+0000","nztaakl","Jessica Margaret","Dominic Ellett","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T04:31:07+0000","nztaakl","NZ Transport Agency - Auckland & Northland","5:30PM UPDATE: Lanes remain CLOSED with traffic now almost back to Tristram Ave interchange. ^WS","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T04:34:42+0000","nztaakl","James Wakeford","","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T04:34:58+0000","nztaakl","Gary Wade","Gemma Wigg","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T04:39:49+0000","nztaakl","Laura Jackson","Carol Robertson","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T04:41:26+0000","nztaakl","Cameron Clout","Steven Martin","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T04:43:13+0000","nztaakl","Rachael Thackwray","Olivia Flack have you seen this?","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T04:43:25+0000","nztaakl","Wiz Man","Madison Fraser","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T04:48:23+0000","nztaakl","Suzanne Duffield","Rebekah Stewart","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T04:51:02+0000","nztaakl","Kaylea Bradshaw","Incident now on western motorway at st Luke's ... Stay at hm","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T05:01:04+0000","nztaakl","Elyse Harvey","Jemma Harris","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T05:01:31+0000","nztaakl","Michelle Hawke","Mel Morgan","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T05:03:05+0000","nztaakl","Laura-Kate Martin","Dylan Martin if ur going out today","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T05:04:38+0000","nztaakl","Louisa Oakey","Carl Harvey","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T05:08:49+0000","nztaakl","Isaac Valach","Cassio","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T05:11:45+0000","nztaakl","NZ Transport Agency - Auckland & Northland","6PM UPDATE: A second crash has occurred on the North Western Motorway causing delays for traffic heading citybound after Gt North Rd, this was advertised as the alternative route to the city however long delays are also being experienced on this motorway. Queues on the Northern Motorway  are now back to Constellation Dr / Upper Hrbr offramp. CONSIDER DELAYING YOUR JOURNEY WHERE POSSIBLE. ^WS","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T05:19:10+0000","nztaakl","Stephen McGreevy","Dead body motorbike","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T05:21:33+0000","nztaakl","Jarrod Johansen","Auckland why you do this to me 😫","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T05:22:39+0000","nztaakl","Kylie Winterburn","Yay....it's gonna be a long drive to you Samantha Cotton!","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T05:23:44+0000","nztaakl","Suzanne Duffield","Cawood Michael McCall","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T05:37:06+0000","nztaakl","NZ Transport Agency - Auckland & Northland","6:30PM UPDATE: Lane 2 of the Auckland Harbour Bridge is now OPEN. Lane 1 remains CLOSED & traffic is heavily congested southbound from Greville Rd with long delays being experienced. ^WS","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T05:48:15+0000","nztaakl","Rachael Byles","Sandra Jackson FYI","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T06:01:15+0000","nztaakl","NZ Transport Agency - Auckland & Northland","7PM UPDATE:  The earlier crash North of the Auckland Harbour Bridge has now been cleared and all lanes are now OPEN. Traffic remains heavy between Constellation Dr & Onewa Rd. 

The earlier crash on the North Western Motorway has been cleared after Western Springs. 

A third crash is now causing delays in the separated right "bull run" lane on the Causeway citybound. Emergency services are on their way to this and traffic is heavy nearby. Use the left lanes if travelling in this area. ^WS","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T06:05:19+0000","nztaakl","Maegan Fromont","Michael Petley","0","0","0","","http://www.facebook.com/210306092376737/posts/953684664705539","comment",
"2015-11-28T01:00:02+0000","nztaakl","NZ Transport Agency - Auckland & Northland","The annual Farmers Santa Parade is on this Sunday the 29th of November!

Pre-Parade entertainment will begin from 12pm and all the action of the Farmers Santa Parade begins at 1pm. The Parade ends at approximately 2:30pm with Santa’s Party from 2:30pm to 5:00pm in Aotea Square.

Join the fun and take the family on board a bus, train, or ferry to the Parade in the Auckland city centre.

People are advised to get into the city before 11:30am to avoid frustration with traffic and parking as there will be parking restrictions and road closures between 11:30am and 4pm on Sunday. 

Buses, train and ferries will also be busier than usual. Pre-plan your journey in advance and travel early to avoid disappointment.

Parade route: The Parade Route starts at the corner of Cook Street and Mayoral Drive, turns left into Queen Street, travels down Queen Street and left again into Customs Street West then up Albert Street, ending at Albert and Wellesley Streets.

Due to road closures a number of city centre bus stops will be relocated and some route diversions in place. Auckland Transport Ambassadors will be on site to assist passengers.

For more information on Closures and the Parade:
Bus Stop closures: http://ow.ly/V7Fly 
Parade Day Travel Information: http://ow.ly/V7FkQ 
Farmers Parade Website: http://www.santaparade.co.nz/ 
 
The rain date for this event is Sunday 6 December. 

Photo credit: Farmers Santa Parade.","0","5","1","https://fbcdn-photos-a-a.akamaihd.net/hphotos-ak-xat1/v/t1.0-0/q83/s130x130/12308380_953174798089859_276804402469358901_n.jpg?oh=c6188601062d7bd89f63475e502957a7&oe=56E6BD55&__gda__=1457944982_18c2f7bdbd9e6bde74b4b93b8f868d33","http://www.facebook.com/210306092376737/posts/953174798089859","post",
"2015-11-28T04:39:26+0000","nztaakl","Louise Lavulo","Michael","0","0","0","","http://www.facebook.com/210306092376737/posts/953174798089859","comment",
"2015-11-27T04:54:27+0000","nztaakl","NZ Transport Agency - Auckland & Northland","A serious crash is blocking southbound lanes on the Southern Motorway after Market Rd, prior to Greenlane interchange, and causing significant delays. Only one middle lane is blocked at present however this may increase during vehicle recovery. Please expect delays or consider alternative routes for your southbound journey this evening. More here: http://ow.ly/V7SDg  ^TP","3","13","2","https://fbcdn-photos-f-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-0/s130x130/12310522_953237421416930_2006889471456347652_n.jpg?oh=0274f56a4a911e9c31b4bcd4da26b41e&oe=56ED72DE&__gda__=1458745472_b20b6e03f820c725d5312ed8bb50b734","http://www.facebook.com/210306092376737/posts/953237421416930","post",
"2015-11-27T05:07:19+0000","nztaakl","NZ Transport Agency - Auckland & Northland","Update 6.06pm: Vehicle recovery is underway, 2 lanes are closed. Motorway should reopen soon. ^TP","0","0","0","","http://www.facebook.com/210306092376737/posts/953237421416930","comment",
"2015-11-27T05:21:44+0000","nztaakl","NZ Transport Agency - Auckland & Northland","Update 6.20pm: The Southern Motorway prior to Greenlane is now CLEAR southbound. However congestion back to Victoria Park Flyover remains. Please #BePatient as this eases. ^TP","0","0","0","","http://www.facebook.com/210306092376737/posts/953237421416930","comment",
"2015-11-27T03:42:12+0000","nztaakl","NZ Transport Agency - Auckland & Northland","A breakdown is blocking one middle lane northbound at the base of the Auckland Harbour Bridge. Traffic is congested through St Mary's Bay and Spaghetti Junction as we work on getting this cleared away. Please use other lanes or avoid the area if possible. More here: http://ow.ly/V7Prt   ^TP","3","14","6","https://fbcdn-photos-d-a.akamaihd.net/hphotos-ak-xlf1/v/t1.0-0/s130x130/12311060_953215811419091_8946124166371143657_n.jpg?oh=70f8a57f8bd75e39d221ee3d133d4eea&oe=56F6E63C&__gda__=1456825275_c549fbe80e7e89853d39843faf2a2e61","http://www.facebook.com/210306092376737/posts/953215811419091","post",
"2015-11-27T04:24:20+0000","nztaakl","Kristina Ineson","Dylan Carmichael","0","0","0","","http://www.facebook.com/210306092376737/posts/953215811419091","comment",
"2015-11-27T04:31:25+0000","nztaakl","NZ Transport Agency - Auckland & Northland","UPDATE 5.30pm: This breakdown is now CLEAR and 5 lanes are OPEN again. Traffic is congested back to Mt Wellington though so please #BePatient as it eases. ^TP","0","0","0","","http://www.facebook.com/210306092376737/posts/953215811419091","comment",
"2015-11-27T04:38:32+0000","nztaakl","David Li","Marcella Lala","0","0","0","","http://www.facebook.com/210306092376737/posts/953215811419091","comment",
"2015-11-27T05:02:54+0000","nztaakl","Matt Doherty","Haha good job.","0","0","0","","http://www.facebook.com/210306092376737/posts/953215811419091","comment",
"2015-11-27T05:05:55+0000","nztaakl","Grant Vivian","Dude on the bikes into it","0","0","0","","http://www.facebook.com/210306092376737/posts/953215811419091","comment",
"2015-11-27T06:50:43+0000","nztaakl","Sam Grant Erickson","Traffic updates on facebook.com.  i will make sure to check this page next time i'm on the motorway","0","0","0","","http://www.facebook.com/210306092376737/posts/953215811419091","comment",
